Input.hotel_name,Input.hotel_address,Input.p-slot0,Input.p-slot1,Input.p-slot2,Input.p-slot3,Input.p-slot4,Input.p-slot5,Input.r-slot0,Input.r-slot1,Input.r-slot2,Input.r-slot3,Answer.turn_01_agent,Answer.turn_02_customer,Answer.turn_03_agent,Answer.turn_04_customer,Answer.turn_05_agent,Answer.turn_06_customer,Answer.turn_07_agent,Answer.turn_08_customer,Answer.turn_09_agent,Answer.turn_10_customer,Answer.turn_11_agent,Answer.turn_12_customer,Answer.turn_13_agent,Answer.turn_14_customer
Embassy Suites by Hilton Convention Center Las Vegas,"3600 Paradise Road, Las Vegas, NV 89169, United States",feels_contemporary,feels_modern,has_bar_onsite,has_free_breakfast,has_hot_tub,has_swimming_pool_indoor,has_balcony_in_rooms,has_minifridge_in_rooms,has_rooms_upgraded,has_kitchen_in_room,"Hi, welcome to the Embassy Suites by Hilton Convention Center Las Vegas customer service line. How may I assist you?","Hi, I had a few questions about your hotel. Can you describe the rooms for me?","I certainly can. Each room has a balcony, minifridge and a kitchen. Our rooms have also been upgraded and are very modern.",What amenities are available at the hotel?,"Well, its a very contemporary and modern feel. We have a bar on sight and feature a swimming pool and hot tub available to our guests. Of course, you'll be treated to a free breakfast each morning as well.",That sounds nice. Where exactly are you located?,"Our address is 3600 Paradise Road, Las Vegas, NV,89169, in the United States.","Thank you, can I book a room with you now?","Certainly, if you can provide me with your name, full address, and credit card number, we can get a reservation ready right now!","Sure, my name is Joe Doe, 311 Street Road, New York, NY, 16383. I'll give you my credit card into as soon as I get my card.",{},{},{},{}
"Club Quarters Hotel, Wacker at Michigan","75 East Wacker Drive, Chicago, IL 60601, United States",feels_modern,feels_casual,has_bar_onsite,feels_contemporary,feels_relaxing,has_event_space,has_coffee_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_kitchenette_in_rooms,Thank you for calling. How can I help you today.,I'm looking for advice on hotels in Chicago.,"Sure, I can help you with that. Is there anything you are looking for in particular?","As long as it's centrally located, and is modern but not snobbishly expensive.","How about the Club Quarters Hotel, Wacker at Michigan?  It is contemporary hotel that combines modern aesthetic while maintaing casual vibes.",Hmm. Sounds interesting What are the rooms like?,The rooms are relaxing and well appointed. They come with an kitchenette and are equipped with a microwave and a minifridge. Of course there is coffee supplied as well.  Are you traveling for business or pleasure?,I am going there for work.,"Well, the hotel also has event space for meetings, and there is a bar onsite for winding down with clients afterwards.",The place sounds great.,{},{},{},{}
Detroit Marriott at the Renaissance Center,"400 Renaissance Center, Detroit, MI 48243, USA",feels_relaxing,feels_contemporary,has_fitness_center,has_meeting_rooms,has_restaurant,popular_with_business_travelers,has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,has_sofa_bed,"Good morning, my name is Angela. How may I help you today?","Hi, I'm calling from JE Financial and I'm trying to find a hotel for some colleagues and I going to a conference in downtown Detroit near the Convention Center. We're flying in from California and we'll be there for four nights. None of us have been to Detroit before, so we'll need some help finding a good place for us to work and relax while we're there.","Great, I'll be happy to help you today. I know that area well. There are lots of hotels in that area. What specifically are you looking for?","Well, I know that, speaking for myself, I want to keep up with my exercise routine and eating habits, so perhaps a place to store some healthy food.",I like to recommend the Detroit Marriott at the Renaissance Center to people who need to go to the Convention Center. It's very popular with business travelers like yourself. Plus it has a fitness center and a minifridge is included in all room so you can store whatever you'd like.,"That sounds nice. After long days of meetings, it would be good to go back to my room for a bit and relax.","Then this hotel would be perfect for you. They have recently updated the place to be more contemporary and have a relaxing touch to it. Also, if you need to meet with your co-workers, they have meeting rooms you can reserve or an on-site restaurant if you need to convene with them.","Thanks, but after spending all day with them, I'd rather just get some work done by myself in my room. And my husband and daughter may come out to visit, but we're not sure yet.","I get it, and that works too because every room has a desk in there so you can work and coffee makers if you need extra energy. If your family does come out, there is a sofa bed in there if you need one.",Thank you so much for your help today. I'd like to book that hotel. What's that address so I can send a link to my colleagues?,"Wonderful. It's the Marriott at 400 Renaissance Center in Detroit, MI 48243.",{},{},{}
Holiday Inn Resort Orlando-Lake Buena Vista,"13351 Florida 535, Orlando, FL 32821, USA",has_fitness_room,has_onsite_laundry,has_onsite_movie_theater,has_restaurant,has_meeting_rooms,welcomes_families,has_bunk_beds_in_rooms,has_balcony_in_rooms,has_coffee_in_rooms,has_minifridge_in_rooms,"Good morning, my name is Angela. How may I help you today?","Hi, my family and I are taking a long overdue vacation with some of their friends during Spring Break to Disney World. I'd prefer not to stay at one of the Disney resorts because I had a bad experience with one before. We have a five-day pass to Disney World, but we'll be out there for eight days so we'll need a place where we can keep the kids busy while we're not at the park. Preferably a resort-type property.","Okay, I'll be happy to help you. There are plenty of resorts to stay at in that area. Since you'll have children, I like to recommend the family friendly Holiday Inn Resort Orlando-Lake Buena Vista. It has bunk beds in the rooms that are always a hit with the kids. With a movie theater on site, you can drop the kids off there and perhaps take advantage of the restaurant on the property with your spouse.",That sounds lovely. I'd prefer though to just sit outside with coffee with my husband or hit up a gym. Hopefully they have one there.,"Yes, they have a fitness room. Your room will have a balcony and coffee available in all rooms, so you won't even have to leave your room! Plus with a mini fridge in each room, you can store food so you really don't have to leave.",Thank you so much. I'm really looking forward to it. It will be a nice break from working.,"Well if you ever miss working, they do have meeting rooms if you need to get work done.","That's okay. I don't plan on doing any work when I'm there. There will be lots of work to get done when we get back. Laundry, putting things away....","There is a laundry room on site, so you can get it done there before you get home.",Wonderful. I'm really excited. Thanks again for all your help. Will you please give me the address?,"Of course. It's 13351 Florida 535, Orlando, FL 32821.",{},{},{}
Comfort Inn Downtown Nashville-Vanderbilt,"1501 Demonbreun St, Nashville, TN 37203, USA",feels_casual,feels_relaxing,has_business_center,has_free_breakfast,has_free_parking,has_roadside_lodging,has_coffee_in_rooms,has_private_bathroom_outside_room,has_microwave_in_rooms,has_minifridge_in_rooms,"Hello, how can I help you today? ", I will be vacationing in Nashville for 4 days with my family and I am looking for that is convenient to downtown.," Okay, I can highly recommend the Comfort Inn Downtown Nashville - Vanderbilt. It's a casual hotel so it is perfect for families. It also has a business center if you need to tend to any work.", We really want a place where we can wind down in the evenings. How is the atmosphere? , The Comfort Inn has a very relaxing atmosphere so you do not have to worry about a wild or noisy environment during your stay. , That sounds great. Can you tell me about the room amenities? ," Sure! There is free coffee, microwave and minifridge in all of the rooms. Private bathrooms are located outside the rooms.", Great. What else does the price of the room include? , This hotel offers free breakfast so it is perfect if you need to grab a meal on your way out for the day. ," Just to make sure, this hotel is not off the beaten path, right. We would like to stay somewhere close to the main road. ", Comfort Inn offers roadside lodging so it will be very convenient for you. We also have free parking.," Wonderful, please tell me the address so that I may see on a map where it is. "," The address for Comfort Inn Downtown Nashville - Vanderbilt is 1501 Demonbreun St, Nashville, TN 37203, USA ", Thanks for your help!
Desert Palms Hotel and Suites,"631 W Katella Ave, Anaheim, CA 92802, United States",feels_relaxing,feels_cozy,has_bar_onsite,has_breakfast_buffet,feels_quaint,feels_casual,has_coffee_in_rooms,has_microwave_in_rooms,has_kitchenette_in_rooms,has_minifridge_in_rooms,"Hi there, how can I help you with your travel plans today? "," Well, I am going to be taking my grandkids to Disneyland and I wanted to find a good value Hotel. ", Sounds like fun! Would you like to stay close to the park? ," Yes. Although we are going to spend quite a bit of time at the park, we need a nice place to return to and maybe be able to fix some of our meals there. "," Great, The Desert Palms sounds almost perfect for you. It's a quaint and casual Hotel and seems to have just what you need to be able to cook a few meals. The room has a kitchenette equipped with microwave, a mini fridge and coffee maker. "," It sounds great, are there restaurants and bars nearby as well? "," Oh sure, plenty but the Hotel does have a breakfast buffet and a cozy on site bar. "," Oh that helps both in the morning getting started and returning in the evening. We'll be keeping quite busy, but I don t want to get stressed. "," Not too worry, you'll have a nice relaxing vacation staying at the Desert Palms. ", It sounds perfect for us!   ,{},{},{},{}
Fairfield Inn & Suites Gatlinburg North,"168 Parkway, Gatlinburg, TN 37738, United States",feels_relaxing,feels_casual,has_business_center,feels_upscale,has_parking,has_fitness_center,has_balcony_in_rooms,has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,Hi there thank you for contacting us today! What can I help you with?, Hi there. I am looking for some information to book a vacation in Tennessee this coming summer.," Wonderful. Tennessee is a beautiful place, with a lot of different areas to explore. What city are you considering? Nashville is a very popular and fun place to go tourists love!"," I am looking for a relaxing and casual environment. I have been overworked, and I do not want to be around the stress of a busy big city. I will still have to get a lot of work done as well, so I need access to a business center, but still able to relax."," Great, I think Gatlinburg Tennessee would be a wonderful destination for you. It is a mountain town in eastern Tennessee. Very relaxing, with wonderful views. You would be surrounded by The Great Smoky Mountains National Park. I know you need to be able to work while on vacation. Let me search hotel options in Gatlinburg that would be a good fit. How many nights, and do you have any other accommodations I can help you with?"," It will be for 7 nights. A desk in my room would be wonderful, with a large coffee maker, and a mini fridge so I can keep working if need be. Also I will be driving, so I need to have parking."," Great, I have some wonderful options here for you that will work out with the business side of you trip. And what about for when you are not working, what are you looking to enjoy?"," It is hard to think of things when I am not working, haha! But besides being relaxing and casual, I still want a upscale feel. A fitness center is a plus. Also a balcony in my room for breaks between working.", I found a hotel that sounds quite lovely. It is very elegant and upscale. It has a beautiful outdoor patio set wit a fireplace to relax at night after working. With every accommodation you have mentioned! With the Great Smoky Mountains view surrounding you! It is sure to be a wonderful fit.," That all sounds wonderful. Thank you so much for all of the help, and finding the perfect vacation spot for me!!"," It was been my pleasure, please enjoy you trip!!",{},{},{}
Hotel Indigo San Diego-Gaslamp Quarter,"509 9th Ave, San Diego, CA 92101, USA",feels_casual,feels_upscale,feels_contemporary,has_bar_onsite,feels_chic,has_business_center,has_coffee_in_rooms,has_hardwood_floor_rooms,has_rooms_upgraded,is_airy,Good afternoon! What may I have the pleasure of helping you with today??,"Hi there. I am taking a vacation to San Diego California. I am trying to find a hotel that would be ideal for me. I have never been to California, and I am so excited!!","Wonderful, California is a beautiful state to take a vacation. Especially San Diego with it's casual but chic feel. There are a lot of sights to see as well! What type of hotel are you looking for?",I love that you said San Diego is more casual. That is what I am looking for. I would like the hotel to still be upscale though with a contemporary chic feel. Coffee in my room is a must. I can not start my day without having it instantly.,"Great, I have a few hotels in mind that sound like they would be the perfect fit for you. Any other activities or interests important to you? Are you going for fun or business?",I do have to get a small amount of work done. So a business center will be needed. But I am also coming for fun so a hotel that has a bar on site is important.,"Perfect, I have found a great fit for you. Recently upgraded contemporary rooms with breathtaking views of the city. The upgrades made the rooms nice and airy, with beautiful hardwood floor.s Also a new fun rooftop bar with a fireplace and patio seating.",Oh that sounds lovely. How much is a night stay? I am looking for 4 nights.,The hotel is Hotel Indigo San Diego Gaslamp Quarter. It is $299 a night. You will not regret you choice!!,I would like to book it. Thank you so much!,My pleasure! I hope you enjoy your stay.,{},{},{}
Embassy Suites by Hilton Los Angeles International Airport North,"9801 Airport Boulevard, Los Angeles, CA 90045, USA",feels_modern,has_business_center,feels_contemporary,has_airport_shuttle,feels_casual,has_bar_onsite,has_balcony_in_rooms,has_coffee_in_rooms,has_minifridge_in_rooms,has_microwave_in_rooms,Hello there. How can I be of assistance to you today?,"Hey, I'm going to be travelling to Los Angeles for the first time ever so I need to find a good hotel there.",LA is a great city with a lot of fabulous hotels to choose from. Is there anything specific that you're looking for?,"Something modern but also casual, like a place that I can relax and have a good time, you know?","Of course! I think that the Embassy Suites by Hilton Los Angeles International Airport North location would be a great fit. It's got a lot of modern amenities but also has a casual, relaxing feel combined with a great location!","Sounds cool, location is important. What are some of those amenities you talked about?","You beat me to it! The Embassy Suites has a balcony in the room, along with coffee, a minifridge, and a microwave. There is also a bar on site that adds to a more contemporary feel.",Sounds good. You mentioned it's near the airport. I don't really want to rent a car but I don't exactly want to walk around LA too much. Is it far?,"You're in luck! This hotel does have an airport shuttle, that can take you to and from the airport. No driving required!",Awesome. I think I forgot to mention that I'm self-employed so I may need to work with some clients while I'm away from home. Do you think this hotel is good a good fit for that?,"I believe so. The hotel is equipped with a modern business center, which should have computers and printers available at your convenience.","Awesome, that sounds really cool. Thanks so much.",I'm happy to help. I think that you're going to have a great time in LA. Is there anything else I could do for you today?,"Nope, you've been super. Thanks again!"
Four Seasons Resort Orlando at Walt Disney World Resort,"10100 Dream Tree Blvd, Orlando, FL 32836, USA",feels_chic,feels_luxury,feels_elegant,has_bar_onsite,feels_upscale,has_golf_course,has_freestanding_bathtub,has_balcony_in_rooms,has_fireplace,has_bathroom_marble_in_rooms,Thanks for chatting with me today. I want to do everything I can to find you the best hotel possible for your needs.,"Well that will be easy because I don't care. I'm going on a one-year anniversary trip with my wife to Disney World. I don't care what it looks like, but she wants it to be special.",I totally understand that! Do you mind if I ask what is she looking for in a good room?,"What isn't she looking for? I don't know, she wants a good room, that's all I know.",I think I can find something. The Four Seasons Resort Orlando at Walt Disney World Resort sounds like it might be a good choice for you.,Are you sure? That sounds kind of like it's more kid-friendly than adult-friendly.,"I hear you. Fortunately, this hotel has an elegant, upscale feel that has impressed many a customer.","Okay, yeah, that sounds a lot more like something she'd be after. What are the rooms like?","The rooms have a chic design with luxury furnishings. There is a marble bathroom with a freestanding bathtub, a balcony in room, as well as a fireplace.","A fireplace? Yeah, she would definitely love that. Anything else?",I see here that there is a bar on site. And it looks like they even have a golf course.,"A golf course? Ha! That's definitely for me. Fireplace for her, bar and golf course for me. I'm sold.",It looks like it offers a little something for everyone to enjoy!,Exactly! Thanks for your time.
